retailer_name,retailer_lat,retailer_long,retailer_category,ride_type,retailer_product_name,retailer_product_target_age,retailer_product_target_gender,retailer_product_discount
Dolmen Mall - Sea View Road - Clifton - Karachi - Sindh,24.8019,67.0304,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8787,67.0642,,,,,,
Water Pump - Karachi - Sindh,24.9369,67.0759,,,,,,
JAMIA MASJID NOOR ( AHLE SUNNAT ) - Shah Faisal Colony - Karachi - Sindh,24.8824,67.1525,,,,,,
Aga Khan University Hospital - Stadium Road - Gulshan Town - Karachi - Sindh,24.892,67.0748,,,,,,
"TCF School, Qayyumabad - TCF School Road - Defence View Housing Society - Karachi - Sindh",24.836,67.0783,,,,,,
Cantt Railway Station - Saddar - Karachi,24.8445,67.0395,,,,,,
Foak Tower,24.8658,67.0784,,,,,,
????? ??? ????16 - Karachi - Karachi,24.8865,67.0616,,,,,,
B-27 Sardar Ali Sabri Rd - Karachi 75300 - Karachi,24.9197,67.09,,,,,,
"Block 1, Gulshan-e-Kaneez Fatima Society - Karachi - Sindh",24.9508,67.1112,,,,,,
Marine Promenade - Karachi - Karachi,24.8132,67.0024,,,,,,
2nd Street South - 2nd Street South - North Nazimabad - Karachi - Sindh,24.9488,67.0554,,,,,,
North Nazimabad Gymkhana - North Nazimabad - Karachi - Sindh,24.9324,67.0489,,,,,,
Rosati Bistro - Karsaz Service Road West - Mohammad Ali Society - Karachi,24.8752,67.0953,restaurants,Business,,,,
"House no 7 , main khayaban shamseer, phase 5 DHA - House no 7 , - Zamzama Boulevard - Gizri - Karachi",24.8154,67.0439,,,,,,
Abbasi Shaheed Hospital - Tabish Dehlavi Road - Nazimabad - Karachi - Sindh,24.92,67.0297,,,,,,
Karachi Sports Complex - Kashmir Road - Karachi - Sindh,24.8767,67.0512,,,,,,
Jinnah Terminal - Jinnah Terminal - Karachi,24.9009,67.168,,,,,,
Marine Promenade - Karachi - Karachi,24.8127,67.0055,,,,,,
Imam Clinic - North Nazimabad - Karachi - Sindh,24.9436,67.0473,,,,,,
"BarBQ Tonight, Clifton - ?????",24.8161,67.0212,,,,,,
Jinnah International Airport (Arrivals) - Karachi,24.9004,67.1682,,,,,,
Dotzero - Dilkusha Forum - Tariq Road - Karachi,24.8785,67.0642,,,,,,
Golf Course Road 1 - Karachi - Karachi,24.8238,67.0651,,,,,,
Teen Talwar - Kheyaban-e-Iqbal Road - Clifton - Karachi - Sindh,24.8339,67.0337,,,,,,
Farooq-e-Azam Masjid - North Nazimabad - Karachi - Sindh,24.9485,67.0517,,,,,,
Golf Course Road 1 - Karachi - Karachi,24.8236,67.0649,,,,,,
Cinepax - Karachi,24.8239,67.0358,,,,,,
Millenium Mall - Rashid Minhas Road - Gulshan Town - Karachi,24.9012,67.1158,,,,,,
Masjid-e-Tayyaba Street - Masjid-e-Tayyaba Street - Jamshed Town - Karachi - Sindh,24.8646,67.0552,,,,,,
Drigh Road Cantt Bazaar - 5/2 Shahrah-e-Faisal - Shah Faisal Colony - Karachi,24.8834,67.132,,,,,,
Kashees Beauty Parlor - ?????,24.8672,67.0568,,,,,,
President Apartments - Sunny Side Road - Karachi,24.8422,67.0347,,,,,,
Lal Qila Restaurant - Shahrah-e-Faisal Road - Karachi,24.8723,67.0909,restaurants,Business,,,,
Mohib-e-Raza Rd - Karachi - Karachi,24.9209,67.1293,,,,,,
"Masjid-e-Munawara Block ""L"" North Nazimabad Karachi Pakistan - North Nazimabad - Karachi - Sindh",24.9422,67.0538,,,,,,
NED University of Engineering and Technology - University Road - Gulshan Town - Karachi - Sindh,24.9324,67.1127,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8469,67.026,,,,,,
Golf Course Road 1 - Karachi - Karachi,24.8236,67.0651,,,,,,
Kolachi Restaurant - Sea View Road - Karachi,24.7568,67.0949,,,,,,
Sir Syed University of Engineering and Technology - Gulshan Town - Karachi - Sindh,24.9157,67.0928,,,,,,
11th Central Street - DHA Phase II - Karachi,24.8365,67.0533,,,,,,
Pearl Continental - Ziauddin Ahmed Road - PIDC - Karachi,24.8472,67.0248,hospitality,Business,,,,
Mehran Medico - Gulshan Town - Karachi - Sindh,24.9022,67.0811,,,,,,
Blossom High School - Karachi,24.9034,67.0733,,,,,,
Syed Raees Ahmed Jafri Rd - Karachi - Karachi,24.9497,67.0678,,,,,,
National Medical Centre - Korangi Road - Karachi,24.8466,67.0557,,,,,,
Pakistan Institute of Tourism & Hotel Management - Clifton - Karachi - Sindh,24.8066,67.0306,,,,,,
Disco Bakery - ?????,24.9292,67.0974,,,,,,
Regent Plaza Hotel,24.8552,67.0396,,,,,,
10th S St - Karachi - Karachi,24.8361,67.054,,,,,,
Pearl Continental - Ziauddin Ahmed Road - PIDC - Karachi - Karachi,24.8476,67.0248,,,,,,
Xander's - E Street - Karachi,24.8038,67.0326,,,,,,
Karachi Eat - Fatima Jinnah Road - Civil Lines - Karachi,24.8475,67.0341,restaurants,Business,,,,
Chullu Kabab Sistani - Sir Ghulam Hussain Hidayatallah Road - Saddar Town - Karachi - Sindh,24.8568,67.0315,restaurants,Business,,,,
Atrium Mall & Cinemas - Karachi,24.8559,67.0302,,,,,,
C-16 Shahrah-e-Jahangir - Karachi 74700 - Karachi,24.9458,67.0466,,,,,,
Block 16 - Karachi - Karachi,24.9028,67.0818,,,,,,
Dotzero - Dilkusha Forum - Tariq Road - Karachi,24.8783,67.0641,,,,,,
Sunny Side Road - Karachi,24.8462,67.0337,,,,,,
B-46 - Block 10A - Central Government Employees Housing Society Gulshan-e-Iqbal - Karachi,24.9038,67.11,,,,,,
Safari Road - Karachi,24.9191,67.1172,,,,,,
Sir Syed University of Engineering and Technology - Gulshan-e-Iqbal - Karachi - Sindh,24.9157,67.0928,,,,,,
"Institute of Business Administration, Karachi - City Campus - Pedestrian Bridge IBA City Campus - Saddar Town - Karachi - Sindh",24.8667,67.0254,,,,,,
AGPR - University Road - Gulshan Town - Karachi - Sindh,24.9201,67.1011,,,,,,
7th St S - Karachi - Karachi,24.947,67.0576,,,,,,
B-10 University Rd - Karachi - Karachi,24.922,67.1021,,,,,,
Consulate General of Switzerland - 3rd Avenue Road - Clifton - Karachi,24.8197,67.0311,,,,,,
C-25 Shahrah-e-Jahangir - Karachi 74700 - Karachi,24.9438,67.0468,,,,,,
Qudoos Ghori Road - Qudoos Ghori Road - Nazimabad - Karachi - Sindh,24.9108,67.0349,,,,,,
Block-4 toBlock-7 Gulshan Iqbal Olympian Islahuddin Rd - Karachi 75300 - Karachi,24.9315,67.0938,,,,,,
Jinnah Flyover - Karachi - Karachi,24.8456,66.9921,,,,,,
KLF - Food Street Road - Jinnah Bridge Roundabout - Karachi,24.8447,66.9969,restaurants,Business,,,,
Naheed Medical Centre - Allama Rasheed Turabi Road - North Karachi Township - Karachi - Sindh,24.9506,67.0676,,,,,,
Allama Shabbir Ahmed Usmani Rd - Karachi - Karachi,24.9209,67.0868,,,,,,
Crystal Homes - Gulistan-e-Johar - Karachi - Sindh,24.9065,67.1248,,,,,,
Shehnai Drive Inn - National Stadium Road - Karachi - Sindh,24.902,67.1126,,,,,,
SZABIST 100 Clifton - Clifton - Karachi - Sindh,24.8203,67.031,,,,,,
Habib Bank - Liaquat Market Road - Malir Cantonment - Karachi,24.8956,67.1963,,,,,,
Port Grand - M.T Khan Road - Near Jinnah Flyover - Karachi,24.8455,66.9922,restaurants,Business,,,,
Sind Club - Club Road - Saddar - Karachi - Sindh,24.849,67.0319,,,,,,
KASB International School - Karachi - Sindh,24.8588,67.0564,,,,,,
Fatima's Home - Sunny Side Rd - Karachi - Karachi,24.8452,67.0338,,,,,,
Institute of Bankers Pakistan - Saddar Town - Karachi - Sindh,24.8434,67.0184,,,,,,
B-25 - Karachi - Karachi,24.8935,67.1835,,,,,,
Dolmen Mall - Tariq Road - - Karachi,24.8768,67.0627,,,,,,
Dolmen Mall - Sea View Road - Karachi,24.8025,67.0306,,,,,,
C-25 Shahrah-e-Jahangir - Karachi 74700 - Karachi,24.9448,67.0471,,,,,,
Sea View Academy - Karachi,24.7891,67.0494,,,,,,
Darul Aman Street Number 7 - Karachi - Karachi,24.877,67.0681,,,,,,
Al Hamra Diabetic and Medical Center - Mian Mohammad Rafi Road - Karachi - Sindh,24.8752,67.0797,,,,,,
The Ocean Mall - Ocean Tower - Khayaban-e-Iqbal - Gizri - Karachi,24.8237,67.0354,,,,,,
Choudary Rehmat Ali Road - Karachi,24.8545,67.0586,,,,,,
Tariq Rd - Karachi - Karachi,24.8784,67.0643,,,,,,
AEO PAKISTAN - Kheyaban-e-Iqbal Flyover - Karachi - Sindh,24.8146,67.0093,,,,,,
Faysal Bank - Faysal House - Main Shahrah-e-Faisal - - Karachi,24.8571,67.0424,,,,,,
Rosati Bistro - Main Shahrah-e-Fasial - KDA Scheme 1 - Karachi,24.8752,67.0952,,,,,,
Beelal.Com - Karachi,24.9142,67.1247,,,,,,
Block-4 toBlock-7 Gulshan Iqbal Olympian Islahuddin Rd - Karachi 75300 - Karachi,24.9274,67.0977,,,,,,
Furqans Place - Block-4 toBlock-7 Gulshan Iqbal Olympian Islahuddin Rd - Karachi 75300 - Karachi,24.9272,67.0978,,,,,,
Olympian Islahuddin Road - Karachi,24.9271,67.0975,,,,,,
Bahria Complex IV - Gizri Road - Gizri - Karachi - Sindh,24.8244,67.044,,,,,,
C-16 Shahrah-e-Jahangir - Karachi 74700 - Karachi,24.9458,67.0467,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8784,67.0642,,,,,,
Habib Bank Limited - Dehli Saudagar Road No. 1 - Karachi - Sindh,24.8783,67.0666,,,,,,
Do Darya Restaurant - Sea View Road - Karachi,24.7561,67.0943,,,,,,
Dolmen Mall - Sea View Road - Karachi,24.803,67.0306,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8782,67.0645,,,,,,
City Tower - Shahrah-e-Faisal - Karachi - Sindh,24.8636,67.0732,,,,,,
Bank Rd - Karachi - Karachi,24.8272,67.034,,,,,,
6th Street North,24.95,67.0593,,,,,,
Del Frio - SMCHS - Karachi,24.8636,67.0547,restaurants,Business,,,,
Burger O' Clock - Khayaban-e-Nishat - Defence Housing Authority - Karachi - Sindh,24.8011,67.076,restaurants,Business,,,,
Daewoo Bus Terminal - Karachi - Hyderabad Motorway - Karachi - Sindh,24.9676,67.1107,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8784,67.0641,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8784,67.0643,,,,,,
Safari Park - National Stadium Road - Gulshan Town - Karachi,24.9255,67.109,,,,,,
Dolmen Mall - ?????,24.8769,67.0627,,,,,,
Pizza Hut - University Road - Gulistan-e-Johar - Karachi - Sindh,24.9343,67.1334,restaurants,Business,,,,
Alliance Fran�aise - Memon Gali - Block 8 - Bath Island - Karachi,24.8331,67.0366,,,,,,
Sultan Ahmed Timberwala Rd - Karachi - Karachi,24.8762,67.0797,,,,,,
Home (karachi) - Sultan Ahmed Timberwala Rd - Karachi - Karachi,24.876,67.0797,,,,,,
Ferozabad Police Station - Karachi - Sindh,24.8718,67.066,,,,,,
"B-180, Block L, North Nazimabad",24.9403,67.0576,,,,,,
38th Street - Karachi,24.7837,67.0523,,,,,,
38th Street - Karachi,24.7838,67.0523,,,,,,
10th S St - Karachi - Karachi,24.836,67.0539,,,,,,
Khayaban-e-Saadi - Karachi,24.8302,67.0746,,,,,,
25th Lane - DHA Phase 7 - Karachi,24.8291,67.0734,,,,,,
Zubaidas by Mothercare - Jami Commercial Street 11 - Karachi - Sindh,24.8299,67.074,baby_products,Business,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8466,67.026,hospitality,Business,,,,
Ancholi Bus Station - Karachi - Sindh,24.9405,67.0804,,,,,,
The Palm Marquee - Clifton - Karachi - Sindh,24.8042,67.0279,,,,,,
1st Zamzama Street - Karachi,24.8214,67.0351,,,,,,
Nadia Hussain Salon - E Street - Karachi - Sindh,24.8057,67.0338,,,,,,
Karachi - Jamshed Town - Karachi - Sindh,24.8833,67.0307,,,,,,
Jami Commercial Street 11 - Karachi,24.8301,67.0731,,,,,,
Habib Bank Plaza - I. I. Chundrigar Road - Karachi,24.85,67.0058,,,,,,
Dolmen Mall - Sea View Road - Karachi,24.8023,67.0311,,,,,,
Shah Jehan Avenue - Karachi,24.9428,67.0689,,,,,,
Shalimar Estate Apartments - Block 5 - Clifton - Karachi,24.8162,67.0289,,,,,,
Dotzero - Dilkusha Forum - Tariq Road - Karachi,24.8784,67.0642,,,,,,
Tipu Sultan Road - Karachi,24.8656,67.0781,,,,,,
Nazimabad Gole Market - Nazimabad - Karachi - Sindh,24.9145,67.0242,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8788,67.0644,,,,,,
Atrium Mall & Cinemas - Saddar Town - Karachi - Sindh,24.8559,67.0302,,,,,,
C-16 Shahrah-e-Jahangir - Karachi 74700 - Karachi,24.9457,67.0467,,,,,,
6th Street North - Karachi,24.95,67.0593,,,,,,
Consulate General of the United States - Mai Kolachi Bypass - Saddar Town - Karachi - Sindh,24.8412,67.0096,,,,,,
Careem Karachi Office - 11th Jami Street Commercial - Jami Commercial Area - DHA 7 - Karachi,24.8301,67.073,,,,,,
Shahrah Noor Jahan - Karachi,24.9669,67.0538,,,,,,
Regent Plaza Hotel - Shahrah-e-Faisal Road - KDA Scheme 1 - Karachi,24.8548,67.0393,,,,,,
PECHS Trauma Hospital - Jamshed Town - Karachi - Sindh,24.8571,67.0613,,,,,,
Jami Commercial Street 11 - Karachi,24.8299,67.0729,,,,,,
Dotzero - Dilkusha Forum - Tariq Road - Karachi,24.8783,67.0642,,,,,,
Shalimar Estate Apartments - Block 5 - Clifton - Karachi,24.8162,67.0288,,,,,,
Razi Road - Karachi,24.8643,67.064,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8467,67.0259,,,,,,
Careem Karachi Office - 11th Jami Street Commercial - Jami Commercial Area - DHA 7 - Karachi,24.8298,67.0729,,,,,,
Shalimar Estate Apartments - Block 5 - Clifton - Karachi,24.8161,67.0287,,,,,,
Home accurate,24.818,67.078,,,,,,
Naheed Super Market - Gulshan-e-Iqbal - Karachi - Sindh,24.8779,67.0686,,,,,,
Jaffer Brothers (Pvt) Limited - Shahrah-e-Faisal - Jamshed Town - Karachi - Sindh,24.8638,67.0735,,,,,,
Khayaban-e-Badar - Karachi - Karachi,24.8038,67.0532,,,,,,
Rasheedsons Uniform Co. - Gulberg - Karachi - Sindh,24.917,67.0551,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8468,67.0259,,,,,,
Careem Karachi Office - 11th Jami Street Commercial - Jami Commercial Area - DHA 7 - Karachi,24.8299,67.0729,,,,,,
Syed Raees Ahmed Jafri Rd - Karachi - Karachi,24.9494,67.0676,,,,,,
Shalimar Estate Apartments - Block 5 - Clifton - Karachi,24.8161,67.0291,,,,,,
Syed Raees Ahmed Jafri Rd - Karachi - Karachi,24.9497,67.0677,,,,,,
Aslam Shaheed Road - Karachi,24.8903,67.0568,,,,,,
Mir Usman Ali Khan Parda Park - Jamshed Town - Karachi - Sindh,24.8835,67.0537,,,,,,
Block 15 - Gulistan-e-Jauhar - Karachi,24.92,67.1227,,,,,,
Home,24.8462,67.0376,,,,,,
Dotzero - Dilkusha Forum - Tariq Road - Karachi,24.8786,67.0643,,,,,,
McDonalds - Main Tariq Road - P.E.C.H.S - Karachi,24.8784,67.0642,,,,,,
Khalid Bin Walid Road - Karachi,24.8733,67.0564,,,,,,
Rowtisserie - 14th Street off Khayaban-e-Shamsheer - DHA Phase 5 - Karachi,24.813,67.0488,,,,,,
Pearl Street - Karachi,24.8824,67.0295,,,,,,
United Bakery - Gulberg - Karachi - Sindh,24.9187,67.0559,bakery,Business,,,,
Disco Bakery - Gulshan-e-Iqbal - Karachi - Sindh,24.9292,67.0973,bakery,Business,,,,
Fatima's Home - Sunny Side Rd - Karachi - Karachi,24.8451,67.0337,,,,,,
Alliance Fran�aise - Memon Gali - Block 8 - Bath Island - Karachi,24.8334,67.0363,,,,,,
Khayaban-e-Badar - Karachi - Karachi,24.8036,67.0533,,,,,,
Khayaban-e-Badar - Karachi - Karachi,24.8038,67.0535,,,,,,
Jinnah Avenue - Karachi,24.8892,67.1765,,,,,,
16b/1 main khayaban-e-Bahria - Phase 7 - Defense Karachi - Karachi,24.824,67.071,,,,,,
16b/1 main khayaban-e-Bahria - Phase 7 - Defense Karachi - Karachi,24.8223,67.0696,,,,,,
16b/1 main khayaban-e-Bahria - Phase 7 - Defense Karachi -,24.8174,67.0614,,,,,,
16b/1 main khayaban-e-Bahria - Phase 7 - Defense Karachi -,24.8208,67.068,,,,,,
16b/1 main khayaban-e-Bahria - Phase 7 - Defense Karachi - -,24.8208,67.068,,,,,,
Careem Karachi Office - 11th Jami Street Commercial - Jami Commercial Area - DHA 7 - Karachi,24.8298,67.0731,,,,,,
Mac Educators - Landhi Road - Korangi - Karachi - Sindh,24.8244,67.1444,,,,,,
Popular Avenue - Karachi,24.8105,67.0701,,,,,,
"Ghosia Masjid, Sector 41/B Korangi No 2 1/2 - Korangi - Karachi - Sindh",24.8209,67.1436,,,,,,
Lane 1 - Karachi,24.7934,67.0624,,,,,,
6th Street North,24.95,67.0589,,,,,,
C-25 Shahrah-e-Jahangir - Karachi 74700 - Karachi,24.9438,67.0467,,,,,,
Careem DHA Office - Defence Housing Authority - Karachi - Sindh,24.8298,67.073,,,,,,
Gloria Jean's Coffees - Karachi - Sindh,24.8639,67.055,restaurants,Business,,,,
Bombay Nimco Light House - Kutchery Road - Saddar Town - Karachi - Sindh,24.8556,67.009,restaurants,Business,,,,
Service Lane - Karachi,24.9036,67.1821,,,,,,
College of Business Management - Korangi - Karachi - Sindh,24.8126,67.117,,,,,,
Hotel Days Inn - Shahrah-e-Faisal Road - Baloch Colony - Karachi,24.8675,67.0841,,,,,,
Moon Garden - Gulshan-e-Iqbal - Karachi - Sindh,24.9138,67.1107,,,,,,
C-25 Shahrah-e-Jahangir - Karachi 74700 - Karachi,24.9438,67.0466,,,,,,
Aslam Market - Faizan Street(Khayban e Faizan) - North Nazimabad - Karachi - Sindh,24.9448,67.0406,,,,,,
Jinnah International Airport (Domestic Arrival) - Airport - Airport Avenue - Short Stay - Karachi,24.8997,67.1684,,,,,,
Block 16 - Karachi - Karachi,24.903,67.0817,,,,,,
Sunset Avenue - DHA Phase II Extension - Karachi,24.8345,67.0666,,,,,,
Jinnah International Airport (Arrivals) - Karachi,24.9006,67.1682,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8466,67.0258,,,,,,
"Chop Chop Wok - 2nd Commercial Lane - Stadium, Phase 5, DHA - Karachi",24.8144,67.0495,restaurants,Business,,,,
Pakistani at Sheraton Hotel - Sheraton Hotel - Club Road - Near Movenpick hotel - Karachi,24.847,67.0274,,,,,,
Block 14 - Karachi,24.9317,67.0741,,,,,,
Home,24.8459,67.0378,,,,,,
Work,24.8608,67.0677,,,,,,
National Bank of Pakistan - Tauheed Commercial - DHA - 4 - Karachi,24.8087,67.0369,,,,,,
Moon Garden - Gulshan-e-Iqbal - Karachi - Sindh,24.9139,67.1107,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8466,67.0253,,,,,,
Home,24.8467,67.0373,,,,,,
Careem DHA Office - Jami Commercial Street 11 - Defence Housing Authority - Karachi - Sindh,24.8297,67.0731,,,,,,
Abul Hasan Isphahani Road - Karachi,24.9378,67.1035,,,,,,
Sharah-e-Sher Shah Suri - Karachi,24.9185,67.0312,,,,,,
"Tao - Block 7 - Boat Basin, Clifton - Karachi",24.8275,67.0279,restaurants,Business,All offerings,28-48,Male;Female,0.25
Qudoos Ghori Road - Karachi,24.9111,67.0344,,,,,,
hotel one - Near Steps,24.8082,67.033,,,,,,
Careem DHA Office - Jami Commercial Street 11 - Defence Housing Authority - Karachi - Sindh,24.8299,67.0731,,,,,,
"Chop Chop Wok - 2nd Commercial Lane - Stadium, Phase 5, DHA - Karachi",24.8142,67.0499,,,,,,
39th Street - DHA Phase 6 - Karachi,24.781,67.0536,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8466,67.0254,,,,,,
Careem DHA Office - Jami Commercial Street 11 - Defence Housing Authority - Karachi - Sindh,24.8301,67.0729,,,,,,
Malir Link to Super Highway - Karachi,24.9124,67.1853,,,,,,
La Anthurium - Saba Avenue - Clifton - Karachi - Sindh,24.8052,67.0313,,,,,,
T2F - Sunset Lane 5 - Defence Housing Authority - Karachi - Sindh,24.832,67.0655,,,,,,
Maritime Museum Road - Karachi,24.8854,67.0898,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8468,67.026,,,,,,
Choudary Rehmat Ali Road - Karachi,24.8549,67.0587,,,,,,
Careem Karachi Office - 11th Jami Street Commercial - Jami Commercial Area - DHA 7 - Karachi,24.8297,67.0728,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8782,67.0644,,,,,,
Oishi Sushi - Alamgir Road - Khokan Society - Karachi,24.8793,67.0719,restaurants,Business,,,,
10th S St - Karachi - Karachi,24.836,67.0541,,,,,,
Home,24.8469,67.0372,,,,,,
Atrium Mall & Cinemas - Korangi - Karachi - Sindh,24.856,67.0301,,,,,,
Arizona Grill - Shaheed-E-Millat Road - - Karachi,24.883,67.0598,,,,,,
Dot Zero - Tariq Road - Jamshed Town - Karachi - Sindh,24.8781,67.0642,,,,,,
Dot Zero - Tariq Road - Jamshed Town - Karachi - Sindh,24.8783,67.0642,,,,,,
Avari Towers - Zaibunnisa Street - Karachi,24.8522,67.0317,,,,,,
Outram Road - Karachi,24.8535,67.0119,,,,,,
Anda Mor Road - Karachi,24.9633,67.0514,,,,,,
Mohammad Ali Jinnah University - Karachi - Sindh,24.8605,67.0704,,,,,,
Steak Escape - Badar Commerical Street 2 - Phase 5 Extension DHA - Karachi,24.799,67.0463,,,,,,
Rashid Minhas Road - Karachi,24.9276,67.0888,,,,,,
Urdu College Stop - Karachi,24.9124,67.0895,,,,,,
Work,24.861,67.0678,,,,,,
22nd Commercial Street - Karachi,24.8323,67.0723,,,,,,
Espresso - Khayaban-e-Shahbaz - Defence Housing Authority - Karachi - Sindh,24.8082,67.0615,,,,,,
Hussainabad Street - Karachi,24.9243,67.065,,,,,,
Choudary Rehmat Ali Road - Karachi,24.8536,67.0593,,,,,,
JS Bank - Khayaban-e-Iqbal Road - Clifton - Karachi - Sindh,24.8329,67.0336,,,,,,
PECHS Trauma Hospital - Jamshed Town - Karachi - Sindh,24.8575,67.0611,,,,,,
Home accurate,24.818,67.0782,,,,,,
Movenpick Hotel - Club Road - PIDC - Karachi,24.8468,67.0258,,,,,,
Dot Perfection - Jamshed Town - Karachi - Sindh,24.8723,67.0612,,,,,,
School of Knowledge - Nazimabad - Karachi - Sindh,24.9168,67.0351,,,,,,
Qalandaria Chowk - Shahrah Noor Jahan - North Nazimabad - Karachi - Sindh,24.9595,67.05,,,,,,
Merit 'n' Merit School & Institute - Gulshan-e-Iqbal - Karachi - Sindh,24.9382,67.1023,,,,,,
Brazil Girls School - Jamshed Town - Karachi - Sindh,24.8723,67.0575,,,,,,
Block 15 - Karachi,24.9283,67.0752,,,,,,
Lane Number 2 - Karachi,24.8319,67.0415,,,,,,
Shaheed Foundation Pakistan - Abajee Street - Federal B Area - Karachi - Sindh,24.9457,67.0801,,,,,,
Block 14 - Karachi,24.9317,67.0742,,,,,,
Rashid Minhas Road - Karachi,24.9277,67.0891,,,,,,
Work,24.8609,67.0678,,,,,,
Continental Bus Stop - New Road Service Lane - Gulistan-e-Johar - Karachi - Sindh,24.9225,67.1165,,,,,,
Muhammad Khan Street - Karachi,24.8695,67.0547,,,,,,
President Apartments - Sunny Side Road - Karachi,24.8419,67.0338,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8784,67.0645,,,,,,
Careem Karachi Office - 11th Jami Street Commercial - Jami Commercial Area - DHA 7 - Karachi,24.8298,67.073,,,,,,
